Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AMMO.SIOUX1,Gennode,LMP,18.39,16.02,14.70,14.23,14.14,14.25,15.86,18.81,19.81,20.64,21.80,22.62,23.52,23.70,24.78,26.02,24.04,25.50,24.87,24.37,22.09,20.82,22.13,18.80
AMMO.SIOUX1,Gennode,LMP,20.23,19.78,20.39,20.90,22.12,19.75,18.68,80.83,33.00,44.07,39.06,28.92,26.92,25.98,25.14,24.44,30.78,26.03,48.35,32.86,31.57,28.17,25.78,22.87
AMMO.SIOUX1,Gennode,LMP,22.11,22.80,21.77,22.49,22.37,20.99,22.20,73.61,22.93,21.42,21.02,19.23,17.13,18.29,18.00,19.18,19.72,53.05,22.80,22.77,27.31,21.98,21.05,19.52
AMMO.SIOUX1,Gennode,LMP,18.75,17.95,17.15,16.96,17.57,18.69,19.49,21.64,21.50,22.44,25.08,25.80,25.14,50.18,27.44,38.72,44.55,27.27,26.89,29.37,26.51,22.99,21.92,21.03
AMMO.SIOUX1,Gennode,LMP,20.06,20.33,20.48,20.24,20.53,20.51,20.62,21.56,23.04,23.80,38.09,24.39,24.01,23.76,23.28,23.40,24.30,23.98,26.18,33.64,36.33,23.85,22.08,20.98
AMMO.SIOUX1,Gennode,LMP,18.35,17.72,18.15,17.53,18.40,18.36,18.95,19.44,20.09,20.44,20.75,20.31,20.54,20.28,21.26,21.19,28.98,34.71,29.20,26.68,25.09,22.72,20.84,20.27
AMMO.SIOUX1,Gennode,LMP,18.73,17.47,16.30,16.53,17.83,19.07,17.97,19.92,29.18,22.54,22.01,23.31,30.78,23.72,26.01,26.12,27.52,23.26,21.96,23.43,23.84,23.29,21.77,20.45
AMMO.SIOUX1,Gennode,LMP,15.85,15.10,14.46,14.23,13.79,13.50,14.21,14.89,17.17,19.23,19.53,20.18,20.65,21.56,22.00,22.65,22.99,23.33,22.31,21.46,21.14,19.91,19.25,18.27
AMMO.SIOUX1,Gennode,LMP,16.91,16.07,17.30,18.02,18.00,18.49,19.50,20.16,21.40,22.48,24.16,34.77,23.05,20.52,20.31,20.15,20.34,21.09,21.69,21.32,20.85,20.59,20.72,19.94
AMMO.SIOUX1,Gennode,LMP,23.28,23.34,20.28,19.63,21.06,65.14,153.99,26.20,43.72,23.92,22.22,24.44,22.52,30.78,27.08,27.81,28.52,26.21,26.01,25.06,23.04,28.41,20.65,19.31
AMMO.SIOUX1,Gennode,LMP,15.11,13.58,12.44,12.79,13.51,16.09,18.69,18.64,20.10,20.57,20.62,20.65,21.05,21.20,21.47,21.82,21.88,21.37,20.55,19.99,19.20,17.41,14.04,14.88
