Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
OTP.MPC,Loadzone,LMP,17.09,14.17,12.05,12.20,12.37,12.38,14.35,17.58,18.98,19.81,18.38,19.73,22.22,22.15,22.26,20.65,19.77,22.72,23.31,23.02,20.83,16.57,17.69,17.02
OTP.MPC,Loadzone,LMP,19.94,19.47,19.66,20.92,22.07,22.06,24.70,71.15,34.76,47.51,42.43,31.49,29.34,28.74,28.02,27.26,34.06,28.84,52.83,35.47,33.53,30.48,27.65,24.60
OTP.MPC,Loadzone,LMP,17.37,16.09,17.53,15.51,17.11,20.72,25.60,87.44,28.05,57.77,24.19,22.56,21.50,20.82,20.61,21.71,22.79,66.41,26.47,26.41,31.42,24.59,23.62,22.25
OTP.MPC,Loadzone,LMP,17.38,16.53,12.02,13.15,13.54,15.88,17.60,20.93,21.59,24.85,28.66,27.41,25.95,55.97,29.44,48.34,52.98,31.75,27.51,28.49,27.12,-6.76,17.42,21.33
OTP.MPC,Loadzone,LMP,21.84,22.25,21.99,21.39,21.60,21.71,22.04,23.08,24.92,26.04,41.78,26.71,26.05,25.68,24.79,24.67,25.43,25.05,26.22,33.75,36.60,24.08,20.71,19.68
OTP.MPC,Loadzone,LMP,20.98,19.95,19.94,19.37,20.29,20.17,20.58,21.06,22.06,22.24,22.42,21.90,21.99,21.39,22.32,22.14,30.14,35.32,29.73,27.02,25.54,23.59,21.40,20.92
OTP.MPC,Loadzone,LMP,17.69,16.45,15.57,15.66,16.62,18.75,24.69,22.32,57.84,65.06,49.31,52.98,67.04,41.59,38.65,36.83,38.99,26.83,25.39,25.55,26.61,24.76,22.76,21.48
OTP.MPC,Loadzone,LMP,13.79,13.10,12.68,12.64,12.30,11.88,12.59,13.18,15.43,17.34,18.29,18.32,18.47,19.12,19.34,19.94,19.69,20.64,19.86,18.76,18.26,17.51,16.84,15.82
OTP.MPC,Loadzone,LMP,16.96,15.79,16.71,17.29,17.30,17.98,19.05,19.48,20.68,21.50,23.08,33.23,21.74,19.15,18.96,18.85,19.24,20.05,20.55,19.87,19.39,19.40,19.87,19.63
OTP.MPC,Loadzone,LMP,22.89,22.93,19.78,18.98,20.49,63.08,148.86,25.22,42.07,21.74,16.29,11.26,10.21,10.99,10.77,12.60,13.65,15.37,18.16,20.87,21.90,27.32,19.65,18.41
