Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
OTP,LMP,,15.6781,13.1882,12.4177,11.438,32.1201,25.3487,12.2622,17.9454,17.4015,14.6605,17.6167,18.4063,17.6769,19.0181,19.9707,22.826,31.988,88.7048,29.3392,30.8106,27.2238,28.419,29.672,35.4735
OTP,LMP,,34.6669,31.6535,29.78,27.053,27.411,25.3459,27.4915,24.1411,23.1781,22.0967,21.6849,22.8716,22.409,26.0327,28.8251,29.9551,97.1131,25.8568,89.5126,23.2209,27.5271,26.5007,24.5982,45.327
OTP,LMP,,42.2355,26.1386,27.1796,24.2054,25.4571,22.583,22.0585,21.1822,21.0226,22.8143,22.6339,22.6637,26.2964,29.1101,29.9799,54.6418,25.1368,38.9543,39.1851,22.5053,19.684,20.4205,18.4146,24.2045
OTP,LMP,,23.7765,30.26,24.0083,24.3995,25.8943,34.9847,18.6535,17.6111,17.1416,17.5217,19.2122,19.7288,86.6981,20.8171,20.4215,20.6877,58.4523,23.5446,22.7163,20.8533,20.6895,19.9999,19.6415,20.2165
OTP,LMP,,21.0107,22.9792,18.3497,19.1578,54.164,17.6562,15.3549,14.7225,24.82,19.7314,22.222,30.5267,22.2503,24.9834,23.2959,19.3356,20.6781,20.3575,19.7462,19.1024,19.0784,18.7762,18.7999,18.3674
OTP,LMP,,11.8618,5.5091,10.845,11.7372,9.9521,11.0945,-11.2089,-0.5993,5.2393,1.2177,-18.5575,-0.777,0.4978,12.2019,13.2456,10.2483,10.5262,7.9446,-0.2054,12.8269,4.1967,14.7311,5.2465,11.1472
OTP,LMP,,16.4252,14.4613,10.4797,15.1213,14.9047,5.2988,-30.4144,-5.119,22.2167,-2.2229,-23.6308,-10.8476,5.9817,15.8711,16.1407,158.2443,17.857,21.144,40.6185,20.143,19.1061,20.6302,20.7868,24.7915
OTP,LMP,,47.0749,19.3021,18.7312,16.4145,16.7218,14.645,16.0769,7.2091,-8.234,4.4764,5.0655,6.657,10.6302,16.1216,13.8041,17.2943,8.6495,12.8567,15.8122,8.79,11.4547,14.0133,16.1452,18.5538
OTP,LMP,,17.1152,17.371,17.1016,16.6171,15.1526,16.3945,17.4526,17.0651,16.9706,17.3442,18.7648,21.8812,32.679,21.5582,21.9348,21.2706,21.9361,21.7503,21.0198,20.9519,20.9726,20.5982,20.3625,21.1855
OTP,LMP,,21.7899,21.8781,60.8325,20.806,19.4557,14.6765,20.432,15.519,14.856,14.586,16.8743,22.7408,21.0753,25.2248,17.5667,19.8497,20.7183,20.1312,19.5844,19.2654,17.4457,19.9037,20.8455,55.338
