Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
LZ_HOUSTON,LZ,,14.2075,15.195,15.5275,16.0575,16.0325,16.965,17.9625,18.0675,18.8725,20.0525,21.0575,21.5175,21.79,21.8525,22.1375,22.505,23.5575,30.5575,31.97,31.48,29.205,26.8825,25.4125,22.5475
LZ_HOUSTON,LZ,,22.215,21.5925,20.94,20.8525,21.0725,21.965,23.9825,29.78,36.76,43.7325,44.6525,113.6375,39.335,40.1125,33.58,33.69,36.745,72.925,57.98,41.4175,38.9375,32.1,29.2625,25.7675
LZ_HOUSTON,LZ,,24.8625,22.4875,21.5425,21.4275,22.1475,23.53,24.905,30.1575,29.44,30.4325,31.1275,27.11,24.6425,22.0275,19.6875,19.65,21.5475,31.8325,33.6275,29.455,28.855,26.5325,25.7175,20.9575
LZ_HOUSTON,LZ,,19.615,18.33,17.64,17.4225,17.525,19.1425,21.2375,23.175,22.225,22.49,23.47,21.08,20.31,19.475,18.5025,17.94,18.215,19.78,21.095,20.32,20.3075,19.9475,19.745,18.6725
LZ_HOUSTON,LZ,,18.7325,18.31,17.9875,18.2975,19.3075,20.65,21.6275,22.0725,21.2275,20.5,20.6225,20.72,20.93,19.3225,18.3625,17.46,17.6775,18.7675,17.2925,14.2725,12.93,13.14,13.07,11.3325
LZ_HOUSTON,LZ,,9.8275,6.0475,3.1775,5.39,6.6475,8.485,11.29,13.8175,17.905,17.685,14.2575,11.3275,9.2725,8.8725,7.3875,8.14,9.1775,13.335,17.5525,15.8225,13.735,10.85,2.8975,-0.6475
LZ_HOUSTON,LZ,,-0.8425,-1.025,-0.835,-0.525,0.1175,7.425,17.2475,17.475,17.2675,18.1375,19.455,20.515,20.5575,20.285,19.9575,20.3025,20.3725,23.965,25.52,22.685,21.6075,18.995,16.04,14.5475
LZ_HOUSTON,LZ,,14.92,15.945,16.83,16.3975,16.2775,18.45,22.9625,23.76,20.28,19.165,18.555,19.065,21.205,20.2525,20.075,19.8925,18.475,22.88,22.595,20.7225,19.695,19.8525,19.5375,18.0725
LZ_HOUSTON,LZ,,17.0425,16.5025,16.5525,17.465,18.93,22.8125,29.48,25.5675,28.2025,23.695,21.6075,21.15,20.6225,20.25,19.74,18.965,19.605,26.945,25.91,27.1625,25.7775,22.185,21.2175,19.0525
LZ_HOUSTON,LZ,,18.6875,17.935,17.94,17.935,17.75,18.73,32.5375,22.3475,20.8675,20.4225,20.08,19.575,20.6875,20.82,20.3,19.5475,19.6,23.3175,25.7525,22.1575,21.015,20.965,21.4675,19.785
LZ_HOUSTON,LZ,,19.2875,18.4575,18.4125,19.3175,19.7375,19.6275,22.255,22.385,22.2425,22.0725,21.5,21.335,20.465,19.5675,19.165,18.825,19.5125,19.9325,20.12,21.3025,27.025,23.05,22.015,28.455
LZ_HOUSTON,LZ,,22.38,19.5075,18.155,17.1675,15.7425,16.5825,19.6125,19.25,21.37,23.1325,21.2425,21.245,21.4875,21.38,19.765,18.54,19.47,93.4225,48.485,30.26,41.5625,28.55,45.8675,22.0775
LZ_HOUSTON,LZ,,21.5925,20.7975,20.14,19.8575,20.19,21.3725,20.7325,21.8925,24.3,31.1475,34.38,34.745,27.5075,25.86,24.0475,22.215,21.76,31.3925,51.7025,54.705,42.4175,39.55,28.5675,28.645
LZ_HOUSTON,LZ,,22.53,22.1,22.18,22.1675,22.2225,26.9675,67.3925,32.25,51.99,57.31,30.2125,26.3125,22.5175,21.8075,21.72,21.685,22.615,33.6625,35.495,26.6975,27.45,24.335,23.1375,23.385
