Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
EES.SAN_JC2_CT,Gennode,LMP,19.14,16.82,15.39,14.92,14.86,15.03,16.57,19.48,20.38,21.24,22.18,23.08,24.12,24.43,25.54,26.77,24.91,26.34,25.65,24.95,22.92,21.83,23.34,19.83
EES.SAN_JC2_CT,Gennode,LMP,24.24,24.20,24.15,24.02,29.20,24.34,28.16,101.00,36.29,46.08,33.14,31.51,29.36,28.23,27.22,26.57,27.34,26.64,32.38,27.12,28.73,28.72,28.35,25.48
EES.SAN_JC2_CT,Gennode,LMP,25.21,21.31,24.40,24.73,23.58,23.84,26.60,91.60,26.97,25.54,23.67,22.30,20.99,20.39,20.23,20.27,21.36,23.99,22.99,23.46,23.93,23.06,22.66,21.37
EES.SAN_JC2_CT,Gennode,LMP,21.02,20.04,18.95,18.58,19.21,20.54,21.31,22.35,22.91,24.15,25.90,26.08,26.61,52.51,29.09,40.17,42.99,28.73,28.06,29.22,26.26,24.40,22.78,21.02
EES.SAN_JC2_CT,Gennode,LMP,22.81,23.01,23.19,22.98,23.35,23.37,23.61,24.64,26.06,26.72,33.70,26.08,25.95,25.46,25.01,24.62,25.72,25.40,26.34,28.12,28.83,26.27,25.22,25.19
EES.SAN_JC2_CT,Gennode,LMP,19.20,18.31,17.72,17.68,17.53,17.84,18.27,19.28,20.03,20.62,20.82,20.28,20.37,20.53,20.64,20.88,21.17,22.10,23.11,22.86,22.52,21.92,21.30,20.33
EES.SAN_JC2_CT,Gennode,LMP,20.55,19.11,17.83,18.01,19.48,20.96,23.33,22.34,31.85,23.76,24.74,25.14,25.71,26.06,27.09,27.08,32.43,26.31,25.85,25.73,25.98,25.21,23.71,22.85
EES.SAN_JC2_CT,Gennode,LMP,17.32,16.31,15.54,15.24,14.75,14.44,15.13,15.83,18.51,20.70,21.17,21.85,22.64,23.69,24.09,24.78,24.99,25.13,44.03,23.02,22.68,21.49,20.87,19.86
EES.SAN_JC2_CT,Gennode,LMP,18.41,17.33,18.33,18.80,18.79,19.36,20.58,21.38,22.77,23.89,25.72,37.00,24.62,22.06,21.84,21.75,21.87,22.51,23.15,22.89,22.43,22.07,22.22,21.55
EES.SAN_JC2_CT,Gennode,LMP,22.87,22.13,20.62,20.25,19.60,22.20,25.95,21.84,24.15,24.30,22.92,24.31,22.73,26.19,24.76,25.17,25.00,25.29,24.51,24.82,24.56,30.43,21.94,20.26
EES.SAN_JC2_CT,Gennode,LMP,16.70,15.03,13.69,13.99,14.69,17.49,20.06,19.97,20.77,21.18,21.67,22.10,22.65,22.90,23.06,23.24,23.30,22.79,21.95,21.43,20.78,19.00,15.66,16.46
