Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AECI,LMP,,15.6723,13.1414,11.7193,7.6389,13.3992,7.2651,14.7396,18.4443,18.1961,15.4905,17.5376,17.9696,17.3149,18.6273,19.5312,22.3166,31.6346,88.8752,29.5484,31.1309,27.5801,28.782,30.0315,35.8214
AECI,LMP,,34.9599,31.9036,30.006,27.2895,27.5814,25.6395,27.883,24.4967,23.5915,22.8827,22.1069,23.3067,23.6667,26.7003,29.4253,30.6539,112.6165,33.2961,99.1514,30.2262,31.0601,29.4655,35.22,50.6937
AECI,LMP,,54.6483,32.4164,31.7171,28.0413,28.9897,25.5854,26.579,24.3601,24.106,26.2585,29.8425,28.3033,29.9176,34.4473,42.5707,59.6077,28.3483,45.0076,53.5679,27.8016,23.2456,23.1378,24.2381,29.3162
AECI,LMP,,28.3615,38.418,28.4085,28.9265,27.0769,37.8338,18.8676,18.4015,17.4322,18.5727,19.8673,21.6572,88.964,21.0842,20.8416,21.0576,59.2681,23.9198,23.103,21.3344,21.0678,20.3055,20.005,21.1299
AECI,LMP,,22.8534,24.7679,19.8054,20.9211,63.4643,18.4691,21.9831,18.1638,30.3642,21.6251,24.9451,36.3844,26.9428,28.335,24.9863,19.6492,20.8483,20.4951,19.7006,18.9687,18.8756,18.5482,18.5507,18.09
AECI,LMP,,11.6525,5.3918,10.1708,11.4881,10.4705,11.2377,-10.8745,-0.8589,5.199,0.3663,-18.2359,-2.5118,-1.2934,14.7423,15.0788,11.62,13.9585,13.0469,7.0203,19.499,10.7089,18.1435,9.4269,14.8642
AECI,LMP,,17.2831,16.9667,15.1337,14.286,5.4045,-10.8886,-27.0958,-3.8963,13.7462,-8.7467,-19.8405,-5.5118,11.1724,16.3627,16.1856,166.5597,19.3192,21.5607,41.1338,20.3658,19.147,20.5794,20.8089,24.9927
AECI,LMP,,47.5077,19.4269,18.893,16.7667,16.8134,14.8627,17.0101,7.9223,-6.063,10.3185,13.4767,14.2544,18.6802,21.1468,15.0119,17.2274,8.8054,13.1686,16.4392,15.3542,11.8805,15.4407,16.9872,19.0484
AECI,LMP,,18.032,18.2398,18.0452,17.6523,16.666,17.4606,18.0821,17.9153,17.8742,18.1741,19.2389,21.5997,31.0302,21.1774,21.5429,21.123,21.8416,21.5905,20.7924,20.7183,20.7765,20.3918,20.1579,20.7551
AECI,LMP,,21.5019,21.7418,60.5608,20.664,19.0748,14.509,19.8818,15.8253,15.2337,14.8195,17.8557,28.1802,22.0574,25.9244,18.0496,20.0111,20.6386,19.9967,19.4792,19.1139,17.3823,19.8423,20.7433,55.8734
AECI,LMP,,25.3674,17.4755,18.7781,14.1734,15.4344,15.3998,16.5184,16.0835,17.5859,17.0161,18.2978,20.0774,19.1937,20.1503,20.3504,22.6465,25.5364,20.6588,25.6521,25.5748,22.1685,21.4131,21.7445,21.0259
AECI,LMP,,20.3919,20.3462,19.4913,20.6814,20.7242,17.9143,18.5803,18.2043,14.9682,14.5395,13.6566,15.321,14.4344,20.4088,20.994,19.1178,19.0055,17.7139,17.7457,18.9169,18.1907,18.5717,17.2515,18.9571
AECI,LMP,,21.2859,20.5241,19.5078,20.4761,19.7715,20.333,20.204,19.3646,19.659,20.2108,20.0949,19.9584,20.0286,20.9501,23.5024,20.8493,22.4876,22.6212,23.0955,22.1728,22.0212,21.8225,23.0873,25.3396
AECI,LMP,,28.9869,28.4583,27.2606,23.7236,24.5951,20.4483,20.9829,20.5659,20.9216,21.3415,21.2781,22.4158,26.7936,26.2704,25.1417,63.6456,25.1689,23.635,23.7294,24.8023,25.0669,23.7941,23.7894,24.1967
AECI,LMP,,25.356,22.3009,22.9091,21.1544,21.4077,21.5264,21.3446,21.1294,20.2401,20.5459,21.3411,24.3202,74.1899,64.4536,23.351,56.8534,27.7082,28.1953,21.4457,21.7895,19.9576,20.6571,21.0788,23.9902
AECI,LMP,,51.9196,20.8424,21.0302,19.9958,19.5946,19.2284,18.3444,18.823,19.1286,19.007,19.4513,19.5279,21.5799,23.991,23.2413,23.8972,26.5388,26.0464,27.3657,28.4543,45.0487,29.2619,33.2292,47.5782
AECI,LMP,,89.1529,36.3396,72.5515,29.01,48.59,21.9867,23.0272,22.0394,21.698,21.4099,22.2447,24.2848,23.1207,27.4872,26.5746,27.1929,32.5526,29.8618,28.7693,28.5454,28.5262,26.3258,27.7016,28.2692
AECI,LMP,,24.8983,24.3577,36.8161,32.672,27.2871,22.6532,18.701,18.5756,18.3032,19.2003,21.1102,23.1564,22.4599,32.5154,27.283,29.1175,33.2321,23.223,36.8659,21.4324,22.57,22.4275,21.194,24.2345
AECI,LMP,,18.2957,28.6334,29.9394,30.0355,19.9493,26.3966,24.707,21.3124,23.1303,23.1884,26.4481,24.7499,25.0954,24.6717,26.2321,27.0078,27.8615,34.1573,28.1337,27.918,22.2596,20.8547,19.1005,22.4604
AECI,LMP,,29.7739,28.2925,32.5386,27.3807,26.5907,24.0461,22.95,23.7151,22.5308,22.5592,20.9179,20.2706,18.193,20.426,19.6013,22.7397,21.6071,19.9975,21.3776,21.2503,20.2749,19.8401,20.8181,23.249
AECI,LMP,,22.5623,19.7347,20.5406,15.862,20.5714,19.5957,27.147,29.44,23.8316,30.7422,29.8341,32.2419,26.1559,23.7149,25.7108,30.2435,28.3238,32.8934,22.8475,26.4062,27.2607,26.959,24.9374,57.7319
AECI,LMP,,42.0631,30.7617,25.5927,26.8439,44.1958,24.6526,24.5061,29.5492,26.637,24.8029,22.7185,32.7621,44.369,37.5221,30.8977,25.7955,20.456,17.2198,20.2867,21.7021,17.0961,21.079,22.4101,19.7757
AECI,LMP,,22.7629,20.4782,20.8523,20.2275,17.851,17.4684,18.0709,20.4721,21.9873,41.6487,22.7806,26.1005,39.7144,34.1212,94.566,44.2109,67.0844,29.0498,26.8309,27.8891,24.2467,23.5025,27.9419,42.5087
AECI,LMP,,54.812,67.4513,62.6832,29.6271,63.3426,21.2424,22.0358,21.163,20.0391,17.5678,19.0951,24.6281,53.3069,60.2063,16.0821,16.8815,12.8177,16.9502,18.0024,15.7759,16.171,15.6768,18.3105,23.8817
AECI,LMP,,29.0185,28.5059,27.5875,28.4995,28.5036,25.9096,23.4853,23.5915,23.9755,24.6356,25.0923,29.7451,43.7704,33.0703,28.7528,27.266,25.6694,25.3965,25.3696,25.3295,24.4168,24.9796,26.4741,29.6448
AECI,LMP,,31.9753,27.5137,26.0016,26.7697,25.6068,24.8818,25.5039,43.6756,22.1139,21.766,21.1357,20.9733,25.3864,27.9522,26.6897,290.179,33.4756,23.2628,19.7119,19.3277,19.1116,19.2417,20.2576,21.2506
AECI,LMP,,23.2676,22.8756,21.0551,22.8329,22.6567,21.4859,19.4462,20.6084,20.4978,21.664,22.1519,21.7693,22.4694,27.0028,22.7784,22.3514,22.0602,17.2954,11.2723,12.5374,9.6726,8.9714,17.7195,18.5567
AECI,LMP,,19.6489,16.0871,18.1667,13.9425,8.0866,3.8708,16.5192,4.6969,9.9882,13.7525,19.9228,27.2258,37.5784,23.6675,20.1138,20.3932,19.426,27.8962,35.9218,35.9906,21.333,12.1432,16.4995,23.1443
AECI,LMP,,27.9979,34.8899,29.0601,28.4575,25.7171,25.0159,25.8955,23.0404,21.6632,21.4004,37.1928,26.6525,74.0036,50.1127,31.0521,28.1452,25.2629,19.911,21.3591,21.0221,20.3039,20.4374,23.0656,27.1106
AECI,LMP,,35.3055,32.5658,26.0529,22.4604,21.1557,24.8084,29.7174,23.3367,28.8657,31.5905,50.0799,62.7796,58.5322,85.6474,61.8297,47.1794,91.2239,35.8235,42.0166,35.9613,31.7774,32.1642,48.5202,121.2948
AECI,LMP,,34.6098,30.2495,27.7905,24.24,21.2998,19.2731,19.2821,21.2854,22.3701,22.611,23.1906,29.0916,73.2117,93.3397,35.6647,40.923,91.0681,27.4363,30.0066,100.7926,30.4616,33.2346,25.788,81.1745
AECI,LMP,,40.6001,30.3952,27.214,25.9193,23.6498,22.4831,21.0257,20.797,20.0641,19.8379,21.5673,22.4841,23.6219,24.8674,24.7451,25.1433,21.7842,21.4808,18.7527,19.1295,18.1289,17.9069,17.8161,17.2298
AECI,LMP,,15.6903,13.6542,15.0218,9.5408,1.0207,5.9854,12.2494,9.63,14.7062,13.6891,13.8682,17.0653,3.2475,15.3545,16.3449,18.0443,16.0471,14.2871,4.0211,11.0439,9.1701,9.4496,11.5756,8.3736
