month,grid fixed cost,grid tou cost,grid rtp cost,solar fixed cost,solar tou cost,solar rtp cost,solar+batt fixed cost,solar+batt tou cost,solar+batt rtp cost
1,64.16250000000008,39.2108300703367,16.80296518469038,8.2093497042182,1.7102757894266944,-0.6769407227807654,10.615291676718282,3.177415030179896,-0.3038140663395031
2,55.75500000000003,34.89893063318419,14.024817151103411,-11.411301280941078,-7.443543153671074,-3.409621781475471,-10.315513219941094,-6.741674375417602,-3.267246111443403
3,58.85250000000003,36.917454642029014,15.121200339691189,-46.10676267630526,-29.446015861031892,-14.327976278603128,-47.63296632780521,-30.431306169559615,-14.83083496937572
4,70.35750000000003,44.34726470963114,17.312665220766053,-49.62184446399273,-33.44919929693499,-14.111155014403423,-63.00658163199276,-41.85607650444898,-17.467708814455865
5,92.04000000000028,56.53123283786327,25.243914988138446,-25.061213857901173,-16.33787495469181,-8.157864580558947,-48.317025528401395,-29.977361363099096,-14.072568749030898
6,140.71499999999975,88.59813922354222,33.63455652310164,11.739056444816471,3.613550917091411,-0.10170896731709216,-27.050923311183546,-20.69566140551031,-8.447345557655579
7,170.3624999999998,107.7635713607292,45.08253889952697,28.598351461782926,16.241032500209844,3.6564142180842865,-0.6261596907171352,-2.864086258750098,-3.7884019288799533
8,153.10499999999996,94.33261011297907,36.24390267677036,33.195811805098344,20.963305557282677,6.612974325278471,3.4032664115981603,2.6301773030090105,-0.1810849852551574
9,122.12999999999971,77.4536032115098,30.05496690119161,28.52870700380802,17.274012394782687,5.80192043675388,-3.6714828366916836,-2.0392516028312224,-2.3753766861632823
10,95.58000000000017,59.04414947419502,21.664904696116974,14.828586253975844,6.576450293648968,0.8365053506577216,-6.601958140024196,-6.9945142918815675,-4.134563825256769
11,56.19750000000006,34.86148035325709,13.452327600417693,2.572772739776996,2.473066230968097,-0.34396052452996245,3.0487719367769373,2.763042368656849,-0.28694742382028865
12,63.27749999999991,40.18669066237605,15.032770174520051,16.355191355068797,10.367790684268083,2.8880806933727463,17.843165661568854,11.334224910922536,3.077941787085951
